placer,width,height,fan_out,distance_sd,runtime,placed_net_length,manual_net_length,placed_total_entries,manual_total_entries,placed_max_entries,manual_max_entries
hilbert,12,12,4,3.0,0.00351595878601,532,510,532,510,76,66
rcm,12,12,4,3.0,0.00307106971741,544,514,544,514,82,65
rand,12,12,4,3.0,0.00174498558044,567,498,567,498,70,62
sa,16,16,4,3.0,0.176174879074,955,1002,932,973,67,73
hilbert,16,16,4,3.0,0.00487399101257,1166,1020,1130,995,90,71
rcm,16,16,4,3.0,0.0055730342865,1263,981,1194,958,110,70
rand,16,16,4,3.0,0.00282287597656,1321,995,1253,976,94,75
sa,24,24,4,3.0,0.532754182816,2239,2308,2066,2207,74,74
hilbert,24,24,4,3.0,0.0114119052887,3563,2342,2952,2235,112,76
rcm,24,24,4,3.0,0.0119249820709,3863,2340,3193,2239,149,76
rand,24,24,4,3.0,0.0114130973816,4180,2351,3397,2245,116,74
sa,32,32,4,3.0,1.24378991127,3836,4154,3651,3965,67,86
hilbert,32,32,4,3.0,0.0183520317078,7710,4161,5562,3976,113,74
rcm,32,32,4,3.0,0.0192959308624,8497,4167,6174,3977,156,79
rand,32,32,4,3.0,0.0195059776306,9584,4162,6687,3970,129,76
sa,48,48,4,3.0,3.99431109428,9729,9519,8468,9091,83,78
hilbert,48,48,4,3.0,0.0416860580444,22048,9555,13273,9092,128,78
rcm,48,48,4,3.0,0.044075012207,26832,9561,15593,9122,181,77
rand,48,48,4,3.0,0.047180891037,31426,9581,16962,9133,155,78
sa,64,64,4,3.0,9.23031497002,18154,16955,15423,16199,88,82
hilbert,64,64,4,3.0,0.0729460716248,46151,17041,24190,16210,136,81
rcm,64,64,4,3.0,0.0793030261993,60498,16849,28945,16075,195,81
rand,64,64,4,3.0,0.089015007019,73017,16818,31979,16035,166,82
sa,96,96,4,3.0,29.165117979,34989,38067,33074,36351,75,84
hilbert,96,96,4,3.0,0.189074993134,136175,38322,56314,36520,159,81
rcm,96,96,4,3.0,0.195488929749,196198,38282,69848,36504,223,84
rand,96,96,4,3.0,0.258583068848,244044,38178,77274,36370,204,79
sa,128,128,4,3.0,70.1903021336,77399,68137,62888,64911,94,82
hilbert,128,128,4,3.0,0.31029510498,268084,68177,100082,64936,168,82
rcm,128,128,4,3.0,0.343438148499,454710,68261,129216,65050,263,86
rand,128,128,4,3.0,0.526342868805,569838,68113,142033,64801,200,83
sa,192,192,4,3.0,251.130476952,177151,153199,139249,145880,98,82
hilbert,192,192,4,3.0,0.776201963425,782405,153442,229411,146067,183,85
rcm,192,192,4,3.0,0.82795715332,1518505,153585,299710,146160,273,83
rand,192,192,4,3.0,2.19643115997,1928224,153505,328535,146151,230,84
sa,256,256,4,3.0,681.808820963,337441,272931,255477,259928,106,85
hilbert,256,256,4,3.0,1.37491798401,1499418,273356,403037,260297,170,82
rcm,256,256,4,3.0,1.51863002777,3730549,273024,537966,259664,299,88
rand,256,256,4,3.0,5.06763696671,4800074,274135,579246,261013,218,86
sa,768,768,4,3.0,19703.060267,4397436,2461933,2531957,2343121,117,86
hilbert,384,384,4,3.0,3.24519991875,4266142,615108,910697,585366,165,85
rcm,384,384,4,3.0,3.55792593956,13274491,615115,1219213,585577,373,87
rand,512,512,4,3.0,75.439399004,42776718,1094131,2290172,1041054,184,91
rand,512,512,4,3.0,76.106648922,42829524,1094014,2290595,1041165,190,89
sa,384,384,4,3.0,2509.5673728,822415,614984,588630,585147,97,86
hilbert,512,512,4,3.0,6.04347205162,8415653,1093969,1617710,1041036,173,85
rand,384,384,4,3.0,28.0359690189,17518407,615524,1292773,585872,187,87
rand,512,512,4,3.0,77.4634618759,42795997,1094425,2289601,1041520,196,88
rand,512,512,4,3.0,77.1781129837,42788026,1093780,2290379,1040931,182,89
rand,512,512,4,3.0,76.2001268864,42827613,1094204,2290041,1041282,189,85
rand,512,512,4,3.0,75.8804359436,42833636,1094572,2290035,1041364,188,86
sa,768,768,4,3.0,19691.158042,4307052,2462300,2500308,2343241,113,89
sa,512,512,4,3.0,5936.76567507,1670372,1094232,1077120,1041386,102,87
rcm,512,512,4,3.0,6.79826521873,32469496,1094408,2177232,1041478,413,85
rand,512,512,4,3.0,74.8320600986,42798754,1093960,2290196,1041132,189,87
sa,9,9,4,3.0,0.0331108570099,220,267,220,267,60,57
hilbert,9,9,4,3.0,0.00290703773499,253,275,253,275,62,61
rcm,9,9,4,3.0,0.0020899772644,268,295,268,295,65,62
rand,9,9,4,3.0,0.00176405906677,324,272,324,272,45,59
sa,12,12,4,3.0,0.0788178443909,442,516,442,516,61,71
hilbert,12,12,4,3.0,0.00403690338135,524,516,524,516,73,74
rcm,12,12,4,3.0,0.00330185890198,546,514,546,514,86,70
rand,12,12,4,3.0,0.00174713134766,567,503,567,503,73,66
sa,16,16,4,3.0,0.174884080887,956,1023,929,998,70,73
hilbert,16,16,4,3.0,0.00504899024963,1180,990,1125,968,87,76
rcm,16,16,4,3.0,0.00612092018127,1268,1019,1199,994,105,84
rand,16,16,4,3.0,0.00306487083435,1330,998,1252,974,86,90
sa,24,24,4,3.0,0.584723234177,2307,2398,2141,2272,73,81
hilbert,24,24,4,3.0,0.012081861496,3612,2356,2967,2259,108,81
rcm,24,24,4,3.0,0.0122418403625,3901,2370,3250,2250,142,76
rand,24,24,4,3.0,0.0114741325378,4177,2294,3385,2206,113,80
sa,32,32,4,3.0,1.22605013847,4119,4177,3705,3967,75,77
hilbert,32,32,4,3.0,0.0192370414734,7683,4222,5512,4023,126,81
rcm,32,32,4,3.0,0.0208330154419,8711,4163,6277,3960,162,79
rand,32,32,4,3.0,0.0202839374542,9646,4163,6699,3992,144,76
sa,48,48,4,3.0,3.97150993347,8628,9467,8219,9043,73,77
hilbert,48,48,4,3.0,0.0438480377197,22941,9571,13390,9126,123,82
rcm,48,48,4,3.0,0.0437109470367,26730,9456,15541,9000,187,78
rand,48,48,4,3.0,0.0482559204102,31591,9599,16981,9082,147,84
sa,64,64,4,3.0,9.13909697533,18626,16932,15572,16116,87,82
hilbert,64,64,4,3.0,0.0749859809875,47277,16914,24261,16135,133,84
rcm,64,64,4,3.0,0.0809829235077,60456,16969,29093,16201,201,79
rand,64,64,4,3.0,0.0905530452728,73323,16924,31867,16132,161,79
sa,96,96,4,3.0,29.3662250042,43391,38345,35485,36523,85,80
hilbert,96,96,4,3.0,0.190585851669,135425,38309,56262,36469,148,83
rcm,96,96,4,3.0,0.19640994072,195776,38137,69870,36363,224,83
rand,96,96,4,3.0,0.253834962845,243016,38311,76879,36440,191,82
sa,128,128,4,3.0,66.9841008186,78462,68111,63196,64912,99,84
hilbert,128,128,4,3.0,0.316265106201,270463,68157,100203,64883,148,84
rcm,128,128,4,3.0,0.342721223831,456877,67993,129376,64717,229,82
rand,128,128,4,3.0,0.528328895569,569930,68248,141767,64974,205,80
sa,192,192,4,3.0,243.509163141,183726,153441,144550,146058,96,89
hilbert,192,192,4,3.0,0.784303188324,729661,153295,225311,146010,154,82
rcm,192,192,4,3.0,0.84440279007,1516236,153246,299327,145900,272,81
rand,192,192,4,3.0,2.25703787804,1927748,153798,328564,146241,218,83
sa,256,256,4,3.0,676.483609915,317155,273704,252060,260442,97,83
hilbert,256,256,4,3.0,1.38291406631,1517214,273037,402902,259857,172,82
rcm,256,256,4,3.0,1.51795315742,3733287,273045,537674,259886,302,89
rand,256,256,4,3.0,5.17241096497,4800325,272994,578848,259790,213,84
sa,384,384,4,3.0,2523.07350588,860654,614565,602844,584931,104,86
hilbert,384,384,4,3.0,3.26253509521,4281525,615250,912326,585225,172,86
rcm,384,384,4,3.0,3.57378315926,13303973,615064,1219339,585448,372,85
rand,384,384,4,3.0,28.1634340286,17510616,615414,1292257,585530,190,86
rand,512,512,4,3.0,75.3734049797,42786349,1094223,2290120,1041543,183,85
hilbert,512,512,4,3.0,6.03583192825,8466858,1094571,1618751,1041489,173,86
rcm,512,512,4,3.0,6.77521109581,32427463,1095068,2176924,1041815,401,88
sa,512,512,4,3.0,5917.20562983,1581441,1093364,1059335,1040626,101,88
sa,1024,1024,4,3.0,44735.219758,8631874,4380467,4540668,4167972,112,89
sa,1024,1024,4,3.0,44875.6505079,8691001,4378702,4562356,4166121,122,87
hilbert,768,768,4,3.0,13.2474849224,24067402,2461425,3643097,2342218,187,88
sa,1024,1024,4,3.0,45291.715951,9199002,4379186,4612114,4167373,117,88
sa,768,768,4,3.0,19690.480655,4203676,2462355,2475334,2343226,111,88
hilbert,9,9,4,3.0,0.00289988517761,249,286,249,286,57,61
rcm,12,12,4,3.0,0.00548911094666,542,509,542,509,79,67
sa,16,16,4,3.0,0.218077898026,939,994,912,972,72,78
sa,12,12,4,3.0,0.110623121262,437,505,437,505,63,67
hilbert,16,16,4,3.0,0.00733494758606,1181,984,1134,969,86,72
rcm,9,9,4,3.0,0.00322699546814,264,287,264,287,66,57
rand,9,9,4,3.0,0.00161600112915,312,275,312,275,48,60
sa,9,9,4,3.0,0.0344069004059,218,267,218,267,56,57
hilbert,48,48,4,3.0,0.0548059940338,22373,9383,13250,8940,128,80
rcm,32,32,4,3.0,0.0303180217743,8555,4224,6179,4018,177,76
rcm,12,12,4,3.0,0.00357699394226,543,512,543,512,79,66
rand,12,12,4,3.0,0.00216102600098,554,518,554,518,76,69
hilbert,9,9,4,3.0,0.00259494781494,246,281,246,281,61,58
rand,16,16,4,3.0,0.00502109527588,1296,980,1223,955,86,74
rcm,16,16,4,3.0,0.00922012329102,1259,1009,1182,984,113,77
rcm,16,16,4,3.0,0.00675892829895,1234,963,1171,945,109,70
rand,12,12,4,3.0,0.00257205963135,575,499,575,499,74,60
rand,16,16,4,3.0,0.00408577919006,1317,1017,1252,1002,92,69
sa,12,12,4,3.0,0.101032018661,445,517,445,517,52,72
hilbert,16,16,4,3.0,0.00871086120605,1158,955,1111,944,88,70
sa,16,16,4,3.0,0.179610967636,944,1000,916,978,75,76
rcm,24,24,4,3.0,0.0187978744507,3856,2368,3181,2254,132,73
rcm,24,24,4,3.0,0.0129251480103,3753,2335,3155,2239,151,76
hilbert,24,24,4,3.0,0.0189759731293,3598,2347,2938,2232,108,75
rand,24,24,4,3.0,0.0120530128479,4184,2379,3423,2266,117,82
rcm,64,64,4,3.0,0.0816421508789,60519,17109,29109,16254,227,82
rand,32,32,4,3.0,0.0309860706329,9596,4170,6704,3984,124,76
hilbert,32,32,4,3.0,0.02512383461,7698,4230,5570,4054,117,80
rcm,32,32,4,3.0,0.0223941802979,8543,4232,6228,4045,170,77
rand,32,32,4,3.0,0.0219378471375,9590,4217,6687,4004,124,85
rcm,9,9,4,3.0,0.00369596481323,265,277,265,277,64,55
sa,24,24,4,3.0,0.541707038879,2139,2282,2054,2194,74,75
hilbert,12,12,4,3.0,0.00264811515808,503,506,503,506,69,66
hilbert,48,48,4,3.0,0.0490951538086,22200,9438,13253,9003,135,83
hilbert,9,9,4,3.0,0.00234699249268,252,276,252,276,60,57
rcm,48,48,4,3.0,0.0485301017761,26557,9446,15413,9006,190,81
sa,32,32,4,3.0,1.21527004242,4070,4165,3803,3967,85,76
hilbert,12,12,4,3.0,0.00665616989136,518,514,518,514,72,74
rcm,12,12,4,3.0,0.0050950050354,544,494,544,494,79,69
rand,48,48,4,3.0,0.0496881008148,31407,9486,16950,9068,145,78
sa,16,16,4,3.0,0.197834014893,931,1016,905,1001,68,73
hilbert,24,24,4,3.0,0.015704870224,3589,2336,2933,2235,103,74
rand,48,48,4,3.0,0.0566389560699,31300,9501,16915,9078,155,78
rand,24,24,4,3.0,0.0174870491028,4138,2377,3345,2277,107,77
rcm,64,64,4,3.0,0.0857248306274,60209,16906,28996,16127,205,78
hilbert,64,64,4,3.0,0.0738060474396,46347,17055,24062,16255,130,84
rcm,64,64,4,3.0,0.0788269042969,60620,16878,29090,16119,184,80
rand,64,64,4,3.0,0.0900869369507,72634,16857,31838,16056,167,77
rcm,96,96,4,3.0,0.197335958481,196164,38216,69899,36412,214,81
sa,48,48,4,3.0,3.94802212715,9808,9506,8535,9048,78,80
sa,48,48,4,3.0,3.94175720215,8679,9511,8260,9073,73,76
rand,64,64,4,3.0,0.093936920166,73198,16922,31976,16145,161,79
hilbert,96,96,4,3.0,0.189450979233,132072,38216,55713,36389,145,81
sa,9,9,4,3.0,0.0256159305573,213,270,213,270,46,52
hilbert,96,96,4,3.0,0.204491853714,137903,38304,55783,36448,152,81
rand,9,9,4,3.0,0.00106692314148,310,272,310,272,56,58
hilbert,9,9,4,3.0,0.00190186500549,260,270,260,270,61,62
rcm,9,9,4,3.0,0.00222897529602,259,283,259,283,59,58
hilbert,96,96,4,3.0,0.191371917725,134931,38146,55323,36382,139,82
hilbert,12,12,4,3.0,0.00469994544983,508,509,508,509,71,65
rcm,12,12,4,3.0,0.00317001342773,547,505,547,505,88,71
rand,12,12,4,3.0,0.00201511383057,568,514,568,514,73,66
sa,12,12,4,3.0,0.0795910358429,440,499,440,499,58,64
sa,16,16,4,3.0,0.181879997253,909,975,881,957,64,69
hilbert,16,16,4,3.0,0.00522398948669,1187,1020,1145,993,89,74
rcm,16,16,4,3.0,0.00556397438049,1263,976,1210,952,107,73
rand,16,16,4,3.0,0.00304508209229,1339,965,1260,949,93,77
rcm,96,96,4,3.0,0.197369813919,197320,38247,70223,36451,228,82
hilbert,24,24,4,3.0,0.0123109817505,3677,2342,2977,2262,98,78
rand,24,24,4,3.0,0.0118410587311,4176,2328,3391,2234,113,75
rcm,24,24,4,3.0,0.0123620033264,3850,2334,3209,2214,134,75
sa,24,24,4,3.0,0.537014007568,2266,2413,2115,2309,71,79
rand,96,96,4,3.0,0.251730918884,242065,38220,76839,36393,188,80
rcm,32,32,4,3.0,0.0211219787598,8677,4196,6271,4008,168,77
rand,32,32,4,3.0,0.0215909481049,9598,4217,6735,4026,132,79
hilbert,32,32,4,3.0,0.0213179588318,7697,4240,5592,4050,114,80
sa,32,32,4,3.0,1.29435396194,3862,4240,3674,4047,68,73
hilbert,48,48,4,3.0,0.042916059494,22847,9578,13400,9126,129,82
sa,64,64,4,3.0,9.11551594734,18276,16776,15443,16052,86,81
hilbert,128,128,4,3.0,0.308188915253,280604,68199,101278,64931,158,81
rand,48,48,4,3.0,0.0494508743286,31474,9466,16918,9018,156,81
rcm,48,48,4,3.0,0.0455279350281,26907,9518,15582,9016,183,80
sa,64,64,4,3.0,9.14848899841,17184,17030,15190,16202,83,76
hilbert,128,128,4,3.0,0.30720615387,274229,67967,100534,64735,158,82
hilbert,64,64,4,3.0,0.0770120620728,47302,16951,24309,16176,136,79
sa,64,64,4,3.0,9.16482782364,18100,16925,15370,16125,90,79
hilbert,128,128,4,3.0,0.309764146805,281440,68115,102018,64812,148,85
rcm,64,64,4,3.0,0.0794191360474,60985,17036,29371,16209,207,82
rand,64,64,4,3.0,0.0872640609741,73849,16937,31960,16090,158,76
sa,48,48,4,3.0,4.00483417511,9765,9408,8539,8982,79,81
rcm,128,128,4,3.0,0.343052864075,455041,68181,129085,64925,231,84
hilbert,96,96,4,3.0,0.190032958984,135488,38417,55770,36644,155,84
rcm,128,128,4,3.0,0.342018127441,454954,68341,129191,65087,246,87
rand,128,128,4,3.0,0.524488925934,570676,68146,142156,64902,220,85
rcm,96,96,4,3.0,0.199232816696,196251,38316,69855,36466,202,86
rand,128,128,4,3.0,0.522382974625,569509,68198,141811,65015,208,83
rand,96,96,4,3.0,0.251702070236,243389,38143,76980,36350,192,83
sa,64,64,4,3.0,9.10370612144,15455,16867,14675,16083,74,82
hilbert,128,128,4,3.0,0.308163881302,277471,68175,101215,64874,160,80
rcm,128,128,4,3.0,0.346837043762,457240,68126,129442,64881,253,83
hilbert,192,192,4,3.0,0.777234077454,790477,153421,232075,145964,159,83
hilbert,192,192,4,3.0,0.777485847473,766593,153569,228818,146178,165,83
rand,128,128,4,3.0,0.515451908112,569549,67724,142134,64513,204,82
sa,96,96,4,3.0,29.1944408417,39436,38283,33977,36449,93,82
hilbert,192,192,4,3.0,0.781558036804,777490,153627,229436,146196,156,83
sa,9,9,4,3.0,0.0308318138123,213,287,213,287,49,64
hilbert,9,9,4,3.0,0.00171089172363,252,283,252,283,58,58
rcm,9,9,4,3.0,0.00208687782288,266,267,266,267,65,54
rand,9,9,4,3.0,0.000955104827881,315,264,315,264,46,54
sa,12,12,4,3.0,0.0853610038757,436,520,436,520,55,70
hilbert,12,12,4,3.0,0.00388813018799,514,514,514,514,65,68
rcm,12,12,4,3.0,0.00319218635559,558,511,558,511,87,67
rcm,192,192,4,3.0,0.830503940582,1519970,153453,299648,146124,276,84
rcm,192,192,4,3.0,0.835826158524,1519797,153584,299543,146397,263,84
rand,12,12,4,3.0,0.00169897079468,564,519,564,519,71,75
rcm,16,16,4,3.0,0.00571393966675,1235,1013,1172,993,111,75
hilbert,16,16,4,3.0,0.00860095024109,1190,1022,1148,995,95,75
sa,16,16,4,3.0,0.18895483017,938,993,910,972,72,81
rand,16,16,4,3.0,0.00307512283325,1301,998,1235,972,88,71
sa,96,96,4,3.0,29.5338349342,42112,38184,34701,36341,85,80
hilbert,24,24,4,3.0,0.0122098922729,3577,2345,2965,2245,109,74
sa,24,24,4,3.0,0.53703212738,2238,2371,2075,2262,76,77
rcm,24,24,4,3.0,0.0127589702606,3855,2298,3197,2188,133,75
rand,24,24,4,3.0,0.0126368999481,4161,2333,3341,2224,106,74
hilbert,32,32,4,3.0,0.0199038982391,7615,4159,5485,3971,117,79
rcm,32,32,4,3.0,0.0210719108582,8661,4147,6250,3984,175,76
rand,32,32,4,3.0,0.0201051235199,9677,4206,6749,4008,129,76
sa,32,32,4,3.0,1.33846712112,4195,4198,3783,4002,77,85
hilbert,48,48,4,3.0,0.0426800251007,23397,9458,13502,9045,131,85
rcm,48,48,4,3.0,0.0447509288788,26667,9461,15448,9031,193,81
rand,48,48,4,3.0,0.0484299659729,31500,9348,16935,8945,144,80
hilbert,256,256,4,3.0,1.37154603004,1500119,273650,403697,260436,185,85
hilbert,64,64,4,3.0,0.0821189880371,46034,16965,24106,16128,132,80
sa,48,48,4,3.0,3.92544102669,8759,9514,8309,9065,76,83
rcm,64,64,4,3.0,0.079824924469,61024,16916,29199,16127,200,78
rand,192,192,4,3.0,2.25766611099,1928138,153409,328497,146081,241,82
rand,64,64,4,3.0,0.0894231796265,73208,16964,31919,16165,169,80
hilbert,256,256,4,3.0,1.38205289841,1530432,272929,407191,259807,166,83
rcm,192,192,4,3.0,0.840395927429,1522408,153476,299623,146129,346,83
hilbert,96,96,4,3.0,0.191426992416,134245,38350,55666,36519,143,83
rcm,96,96,4,3.0,0.197951078415,196103,38245,69721,36425,207,85
sa,64,64,4,3.0,9.10102796555,18144,16974,15381,16176,82,80
rand,96,96,4,3.0,0.251767873764,242889,38190,77130,36369,188,82
hilbert,128,128,4,3.0,0.312371015549,280072,68102,101629,64783,149,81
hilbert,256,256,4,3.0,1.37134003639,1514917,273446,404013,260186,172,84
rand,192,192,4,3.0,2.33488678932,1924841,153683,328081,146337,230,82
rcm,128,128,4,3.0,0.346976041794,455767,68198,129113,64878,250,84
rand,128,128,4,3.0,0.523312091827,568777,67909,141772,64742,206,81
sa,128,128,4,3.0,69.2706520557,70034,68276,60511,65044,89,80
sa,96,96,4,3.0,29.6704061031,42243,38200,34769,36385,90,79
hilbert,192,192,4,3.0,0.777554988861,765610,153280,227361,145799,162,81
sa,128,128,4,3.0,66.3569209576,79891,67996,63775,64797,101,85
rcm,256,256,4,3.0,1.52601003647,3721508,273351,538248,260247,293,83
rcm,256,256,4,3.0,1.51298689842,3721981,273071,537840,260006,290,81
rcm,192,192,4,3.0,0.831467866898,1519831,153380,299675,146016,275,82
rcm,256,256,4,3.0,1.52053594589,3729731,273295,537549,260217,326,83
hilbert,256,256,4,3.0,1.37166595459,1510074,272844,404673,260019,174,86
rand,256,256,4,3.0,4.99683880806,4800883,272492,579111,259527,215,83
rand,192,192,4,3.0,2.31489610672,1924434,153714,328361,146233,213,82
sa,9,9,4,3.0,0.024628162384,216,265,216,265,45,55
hilbert,9,9,4,3.0,0.00165104866028,255,282,255,282,59,65
rcm,9,9,4,3.0,0.0020158290863,271,276,271,276,64,57
rand,256,256,4,3.0,5.0948472023,4809846,273514,579537,260256,206,84
rand,9,9,4,3.0,0.00095009803772,319,290,319,290,58,62
hilbert,12,12,4,3.0,0.00388216972351,504,510,504,510,69,64
sa,12,12,4,3.0,0.0872249603271,445,492,445,492,55,62
rcm,12,12,4,3.0,0.00319790840149,557,510,557,510,86,69
rand,12,12,4,3.0,0.00176310539246,564,517,564,517,73,66
rand,256,256,4,3.0,4.9988720417,4806712,273298,579372,260239,208,84
hilbert,16,16,4,3.0,0.00669312477112,1191,1008,1128,988,84,76
sa,16,16,4,3.0,0.181621074677,932,1007,897,982,66,81
rcm,16,16,4,3.0,0.00698518753052,1264,1026,1205,996,106,74
rand,16,16,4,3.0,0.00310087203979,1283,1009,1217,999,94,75
hilbert,24,24,4,3.0,0.0195059776306,3592,2403,2918,2288,111,76
rcm,24,24,4,3.0,0.0130121707916,3861,2323,3225,2204,139,76
sa,24,24,4,3.0,0.534004211426,2233,2326,2069,2210,74,75
rand,24,24,4,3.0,0.0116279125214,4171,2374,3362,2271,117,76
hilbert,32,32,4,3.0,0.0190589427948,7488,4160,5486,3977,108,78
rcm,32,32,4,3.0,0.0222198963165,8537,4172,6213,4013,154,83
rand,32,32,4,3.0,0.0212728977203,9703,4221,6714,3994,132,75
sa,32,32,4,3.0,1.21097111702,4137,4167,3723,3996,75,75
hilbert,48,48,4,3.0,0.0418829917908,22917,9528,13406,9065,123,77
rcm,48,48,4,3.0,0.0440669059753,26799,9505,15458,9074,199,81
rand,48,48,4,3.0,0.0479629039764,31658,9557,16995,9134,148,77
hilbert,384,384,4,3.0,3.23818016052,4303870,614856,911557,585329,182,87
sa,48,48,4,3.0,3.92086386681,9835,9545,8562,9108,83,84
hilbert,64,64,4,3.0,0.0766980648041,46915,16890,24165,16093,130,86
sa,128,128,4,3.0,66.8465189934,73340,68326,63954,65045,89,84
rcm,64,64,4,3.0,0.0808351039886,60357,17063,29065,16225,206,77
rand,64,64,4,3.0,0.0891621112823,72681,16798,31937,16023,179,77
rand,256,256,4,3.0,5.07596516609,4811963,272925,579704,259918,214,85
hilbert,96,96,4,3.0,0.190825939178,139282,38297,56594,36448,145,81
sa,64,64,4,3.0,9.18399500847,18122,17011,15529,16192,88,83
rcm,96,96,4,3.0,0.197129011154,196423,38384,70052,36531,227,80
rand,96,96,4,3.0,0.249230146408,242782,38232,77004,36393,199,85
hilbert,384,384,4,3.0,3.25388002396,4265642,615086,914833,585401,171,88
hilbert,128,128,4,3.0,0.309410095215,278007,67829,100608,64574,162,82
rcm,128,128,4,3.0,0.344972848892,455880,67951,129484,64750,241,81
rand,128,128,4,3.0,0.527256965637,570572,68222,141902,64984,198,83
sa,96,96,4,3.0,29.6188528538,43212,38231,35278,36453,88,83
rcm,256,256,4,3.0,1.54034495354,3729841,273289,538518,260107,287,87
hilbert,192,192,4,3.0,0.780631065369,759251,153562,229327,146187,160,82
rcm,192,192,4,3.0,0.827153205872,1518253,153253,299396,146008,281,83
rand,256,256,4,3.0,5.07062292099,4802848,272874,578899,259792,212,83
rand,192,192,4,3.0,2.33495807648,1928459,153605,328485,146282,237,82
sa,128,128,4,3.0,67.0202338696,71599,68170,61172,64778,93,83
hilbert,384,384,4,3.0,3.24183392525,4293363,614481,911366,584928,178,88
hilbert,256,256,4,3.0,1.38592791557,1517609,272791,405600,259584,162,85
hilbert,512,512,4,3.0,6.02019119263,8410398,1094365,1616921,1041594,176,87
hilbert,512,512,4,3.0,5.97146296501,8534376,1093756,1624641,1041143,175,87
hilbert,512,512,4,3.0,5.98983192444,8507136,1093485,1623931,1040805,197,87
rcm,256,256,4,3.0,1.53104305267,3726206,273043,538110,259889,303,83
sa,192,192,4,3.0,241.147803068,185363,153351,142320,146005,94,83
sa,192,192,4,3.0,245.730154991,195343,153864,144557,146477,93,86
sa,9,9,4,3.0,0.0283119678497,224,267,224,267,48,53
hilbert,9,9,4,3.0,0.00106310844421,256,277,256,277,54,57
rcm,9,9,4,3.0,0.00209403038025,256,267,256,267,57,59
rand,9,9,4,3.0,0.000473976135254,319,270,319,270,56,54
hilbert,12,12,4,3.0,0.00250196456909,533,523,533,523,70,68
sa,12,12,4,3.0,0.0854501724243,447,516,447,516,58,72
