"","experiment","fault_model","dist","postprocess","dest","faults","router","num_samples","resource","resource_stdev","resource_min","resource_max","entries","entries_stdev","entries_min","entries_max","useX","useX_stdev","useX_min","useX_max","useY","useY_stdev","useY_min","useY_max","useD","useD_stdev","useD_min","useD_max","disconne","disconne_stdev","disconne_min","disconne_max","exectime","exectime_stdev","exectime_min","exectime_max","post_exectime","post_exectime_stdev","post_exectime_min","post_exectime_max","exectime_ci","post_exectime_ci","disconne_ci","resource_ci","entries_ci"
"70","baseline","spinn_link","uniform","DIJKSTRA",16,0,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","baseline","spinn_link","uniform","DIJKSTRA",16,19,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","baseline","spinn_link","uniform","DIJKSTRA",16,19,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","baseline","spinn_link","uniform","DIJKSTRA",16,19,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","baseline","spinn_link","uniform","DIJKSTRA",16,19,"smart",10000,638.8779,894.819797085983,0,939,33.2781,15.9858779715097,0,42,214.0342,540.603366528548,0,432,214.3847,545.417782906828,0,426,213.7641,542.118350633881,0,416,0,0,0,0,115.3802,134.107194031491,0,176,2.0751,96.1749296848196,0,96,2.20586704502983,1.58193681913878,0,14.7184758870486,0.262944293614414
"75","baseline","spinn_link","uniform","DIJKSTRA",16,19,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","baseline","spinn_link","uniform","DIJKSTRA",16,39,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","baseline","spinn_link","uniform","DIJKSTRA",16,39,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","baseline","spinn_link","uniform","DIJKSTRA",16,39,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","baseline","spinn_link","uniform","DIJKSTRA",16,39,"smart",10000,639.1492,894.415829182937,0,932,33.4739,18.2758792584652,0,45,214.1163,538.768442070432,0,461,215.0728,542.829557073857,0,433,214.3092,540.018324929812,0,434,0,0,0,0,115.5166,134.682361205913,0,185,3.1055,86.44065934929,0,51,2.21532770315934,1.42182232046756,0,14.7118312063436,0.300611462840137
"80","baseline","spinn_link","uniform","DIJKSTRA",16,39,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","baseline","spinn_link","uniform","DIJKSTRA",16,78,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
